File Used: TC1
NUM     | BIN                        | HEX     
-----------------------------------------------
6980368 | 0b11010101000001100010000  | 0x6a8310
5517055 | 0b10101000010111011111111  | 0x542eff
1336159 | 0b101000110001101011111    | 0x14635f
6750185 | 0b11001101111111111101001  | 0x66ffe9
1771937 | 0b110110000100110100001    | 0x1b09a1
360952  | 0b1011000000111111000      | 0x581f8 
5672561 | 0b10101101000111001110001  | 0x568e71
916583  | 0b11011111110001100111     | 0xdfc67 
2700138 | 0b1010010011001101101010   | 0x29336a
9645053 | 0b100100110010101111111101 | 0x932bfd
1181110 | 0b100100000010110110110    | 0x1205b6
1492185 | 0b101101100010011011001    | 0x16c4d9
4018595 | 0b1111010101000110100011   | 0x3d51a3
7654888 | 0b11101001100110111101000  | 0x74cde8
7062453 | 0b11010111100001110110101  | 0x6bc3b5
2478010 | 0b1001011100111110111010   | 0x25cfba
6134768 | 0b10111011001101111110000  | 0x5d9bf0
8420417 | 0b100000000111110001000001 | 0x807c41
2917489 | 0b1011001000010001110001   | 0x2c8471
3340773 | 0b1100101111100111100101   | 0x32f9e5
1115956 | 0b100010000011100110100    | 0x110734
9172192 | 0b100010111111010011100000 | 0x8bf4e0
6271996 | 0b10111111011001111111100  | 0x5fb3fc
8686939 | 0b100001001000110101011011 | 0x848d5b
50986   | 0b1100011100101010         | 0xc72a  
9376410 | 0b100011110001001010011010 | 0x8f129a
5962327 | 0b10110101111101001010111  | 0x5afa57
7686891 | 0b11101010100101011101011  | 0x754aeb
6615183 | 0b11001001111000010001111  | 0x64f08f
1864844 | 0b111000111010010001100    | 0x1c748c
3329962 | 0b1100101100111110101010   | 0x32cfaa
3942794 | 0b1111000010100110001010   | 0x3c298a
2614836 | 0b1001111110011000110100   | 0x27e634
7406772 | 0b11100010000010010110100  | 0x7104b4
2384190 | 0b1001000110000100111110   | 0x24613e
398347  | 0b1100001010000001011      | 0x6140b 
8698503 | 0b100001001011101010000111 | 0x84ba87
9551696 | 0b100100011011111101010000 | 0x91bf50
1019556 | 0b11111000111010100100     | 0xf8ea4 
1677430 | 0b110011001100001110110    | 0x199876
3479629 | 0b1101010001100001001101   | 0x35184d
9309008 | 0b100011100000101101010000 | 0x8e0b50
5266170 | 0b10100000101101011111010  | 0x505afa
4094340 | 0b1111100111100110000100   | 0x3e7984
1754055 | 0b110101100001111000111    | 0x1ac3c7
5861132 | 0b10110010110111100001100  | 0x596f0c
4471329 | 0b10001000011101000100001  | 0x443a21
8826052 | 0b100001101010110011000100 | 0x86acc4
7469325 | 0b11100011111100100001101  | 0x71f90d
1973172 | 0b111100001101110110100    | 0x1e1bb4
53145   | 0b1100111110011001         | 0xcf99  
3897508 | 0b1110110111100010100100   | 0x3b78a4
7773386 | 0b11101101001110011001010  | 0x769cca
6089829 | 0b10111001110110001100101  | 0x5cec65
4223424 | 0b10000000111000111000000  | 0x4071c0
9761752 | 0b100101001111001111011000 | 0x94f3d8
7930799 | 0b11110010000001110101111  | 0x7903af
3597495 | 0b1101101110010010110111   | 0x36e4b7
9302948 | 0b100011011111001110100100 | 0x8df3a4
2288712 | 0b1000101110110001001000   | 0x22ec48
197187  | 0b110000001001000011       | 0x30243 
5266939 | 0b10100000101110111111011  | 0x505dfb
221545  | 0b110110000101101001       | 0x36169 
7957027 | 0b11110010110101000100011  | 0x796a23
3195361 | 0b1100001100000111100001   | 0x30c1e1
7106269 | 0b11011000110111011011101  | 0x6c6edd
9633312 | 0b100100101111111000100000 | 0x92fe20
9713704 | 0b100101000011100000101000 | 0x943828
91925   | 0b10110011100010101        | 0x16715 
4418686 | 0b10000110110110001111110  | 0x436c7e
9682250 | 0b100100111011110101001010 | 0x93bd4a
2583824 | 0b1001110110110100010000   | 0x276d10
4979126 | 0b10010111111100110110110  | 0x4bf9b6
6280954 | 0b10111111101011011111010  | 0x5fd6fa
1228610 | 0b100101011111101000010    | 0x12bf42
705518  | 0b10101100001111101110     | 0xac3ee 
1017653 | 0b11111000011100110101     | 0xf8735 
500098  | 0b1111010000110000010      | 0x7a182 
7210727 | 0b11011100000011011100111  | 0x6e06e7
4250898 | 0b10000001101110100010010  | 0x40dd12
4055028 | 0b1111011101111111110100   | 0x3ddff4
2754240 | 0b1010100000011011000000   | 0x2a06c0
452999  | 0b1101110100110000111      | 0x6e987 
6831458 | 0b11010000011110101100010  | 0x683d62
207636  | 0b110010101100010100       | 0x32b14 
7280635 | 0b11011110001011111111011  | 0x6f17fb
3308937 | 0b1100100111110110001001   | 0x327d89
4303570 | 0b10000011010101011010010  | 0x41aad2
8375055 | 0b11111111100101100001111  | 0x7fcb0f
1457960 | 0b101100011111100101000    | 0x163f28
5197625 | 0b10011110100111100111001  | 0x4f4f39
3144371 | 0b1011111111101010110011   | 0x2ffab3
6674138 | 0b11001011101011011011010  | 0x65d6da
2692106 | 0b1010010001010000001010   | 0x29140a
2276769 | 0b1000101011110110100001   | 0x22bda1
1940971 | 0b111011001110111101011    | 0x1d9deb
3288264 | 0b1100100010110011001000   | 0x322cc8
4819803 | 0b10010011000101101011011  | 0x498b5b
9431005 | 0b100011111110011111011101 | 0x8fe7dd
3992019 | 0b1111001110100111010011   | 0x3ce9d3
8184782 | 0b11111001110001111001110  | 0x7ce3ce
2847975 | 0b1010110111010011100111   | 0x2b74e7
7891025 | 0b11110000110100001010001  | 0x786851
900082  | 0b11011011101111110010     | 0xdbbf2 
1831532 | 0b110111111001001101100    | 0x1bf26c
8428253 | 0b100000001001101011011101 | 0x809add
2905752 | 0b1011000101011010011000   | 0x2c5698
9763121 | 0b100101001111100100110001 | 0x94f931
257890  | 0b111110111101100010       | 0x3ef62 
4699761 | 0b10001111011011001110001  | 0x47b671
359541  | 0b1010111110001110101      | 0x57c75 
3446150 | 0b1101001001010110000110   | 0x349586
4246818 | 0b10000001100110100100010  | 0x40cd22
1848840 | 0b111000011011000001000    | 0x1c3608
938480  | 0b11100101000111110000     | 0xe51f0 
227465  | 0b110111100010001001       | 0x37889 
3923488 | 0b1110111101111000100000   | 0x3bde20
8915697 | 0b100010000000101011110001 | 0x880af1
4309094 | 0b10000011100000001100110  | 0x41c066
3891251 | 0b1110110110000000110011   | 0x3b6033
8627956 | 0b100000111010011011110100 | 0x83a6f4
5884613 | 0b10110011100101011000101  | 0x59cac5
1659318 | 0b110010101000110110110    | 0x1951b6
1834855 | 0b110111111111101100111    | 0x1bff67
3386751 | 0b1100111010110101111111   | 0x33ad7f
3000166 | 0b1011011100011101100110   | 0x2dc766
9135626 | 0b100010110110011000001010 | 0x8b660a
4869260 | 0b10010100100110010001100  | 0x4a4c8c
76550   | 0b10010101100000110        | 0x12b06 
432271  | 0b1101001100010001111      | 0x6988f 
251028  | 0b111101010010010100       | 0x3d494 
7016218 | 0b11010110000111100011010  | 0x6b0f1a
6896099 | 0b11010010011100111100011  | 0x6939e3
8386350 | 0b11111111111011100101110  | 0x7ff72e
8637147 | 0b100000111100101011011011 | 0x83cadb
936705  | 0b11100100101100000001     | 0xe4b01 
6602175 | 0b11001001011110110111111  | 0x64bdbf
1429181 | 0b101011100111010111101    | 0x15cebd
8395138 | 0b100000000001100110000010 | 0x801982
6132809 | 0b10111011001010001001001  | 0x5d9449
5936917 | 0b10110101001011100010101  | 0x5a9715
2878578 | 0b1010111110110001110010   | 0x2bec72
158885  | 0b100110110010100101       | 0x26ca5 
2441957 | 0b1001010100001011100101   | 0x2542e5
5914794 | 0b10110100100000010101010  | 0x5a40aa
3999272 | 0b1111010000011000101000   | 0x3d0628
3142897 | 0b1011111111010011110001   | 0x2ff4f1
8151159 | 0b11111000110000001110111  | 0x7c6077
5147564 | 0b10011101000101110101100  | 0x4e8bac
4595374 | 0b10001100001111010101110  | 0x461eae
4234951 | 0b10000001001111011000111  | 0x409ec7
7880605 | 0b11110000011111110011101  | 0x783f9d
7009921 | 0b11010101111011010000001  | 0x6af681
695580  | 0b10101001110100011100     | 0xa9d1c 
7370443 | 0b11100000111011011001011  | 0x7076cb
7921729 | 0b11110001110000001000001  | 0x78e041
8419625 | 0b100000000111100100101001 | 0x807929
7024080 | 0b11010110010110111010000  | 0x6b2dd0
3905988 | 0b1110111001100111000100   | 0x3b99c4
1767599 | 0b110101111100010101111    | 0x1af8af
935136  | 0b11100100010011100000     | 0xe44e0 
635788  | 0b10011011001110001100     | 0x9b38c 
8807719 | 0b100001100110010100100111 | 0x866527
317375  | 0b1001101011110111111      | 0x4d7bf 
9975410 | 0b100110000011011001110010 | 0x983672
2727968 | 0b1010011010000000100000   | 0x29a020
7444399 | 0b11100011001011110101111  | 0x7197af
4065675 | 0b1111100000100110001011   | 0x3e098b
9925720 | 0b100101110111010001011000 | 0x977458
2293633 | 0b1000101111111110000001   | 0x22ff81
7734826 | 0b11101100000011000101010  | 0x76062a
1065463 | 0b100000100000111110111    | 0x1041f7
1105617 | 0b100001101111011010001    | 0x10ded1
5325800 | 0b10100010100001111101000  | 0x5143e8
3822527 | 0b1110100101001110111111   | 0x3a53bf
5503858 | 0b10100111111101101110010  | 0x53fb72
9214055 | 0b100011001001100001100111 | 0x8c9867
6521769 | 0b11000111000001110101001  | 0x6383a9
7923796 | 0b11110001110100001010100  | 0x78e854
5250236 | 0b10100000001110010111100  | 0x501cbc
1083154 | 0b100001000011100010010    | 0x108712
472141  | 0b1110011010001001101      | 0x7344d 
9597454 | 0b100100100111001000001110 | 0x92720e
1581679 | 0b110000010001001101111    | 0x18226f
656751  | 0b10100000010101101111     | 0xa056f 
345464  | 0b1010100010101111000      | 0x54578 
4281218 | 0b10000010101001110000010  | 0x415382
6558883 | 0b11001000001010010100011  | 0x6414a3
3852986 | 0b1110101100101010111010   | 0x3acaba
6263187 | 0b10111111001000110010011  | 0x5f9193
5828308 | 0b10110001110111011010100  | 0x58eed4
8058535 | 0b11110101111011010100111  | 0x7af6a7
9035191 | 0b100010011101110110110111 | 0x89ddb7
7922103 | 0b11110001110000110110111  | 0x78e1b7
9366003 | 0b100011101110100111110011 | 0x8ee9f3
4555717 | 0b10001011000001111000101  | 0x4583c5
3526753 | 0b1101011101000001100001   | 0x35d061
3176815 | 0b1100000111100101101111   | 0x30796f
858440  | 0b11010001100101001000     | 0xd1948 
2250854 | 0b1000100101100001100110   | 0x225866
-----------------------------------------------

Time Elapsed: 0.0007038116455078125 seconds


File Used: TC2
NUM     | BIN                        | HEX     
